ASX Warrants Market as at 02/09/2004 17:01:31
CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
NABSWA,Self Funding Instalments,17.4108,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. Ex Price amended from $16.166 to $17.4108 on 30/6/04.
NABWM5,Equity Put,27.00,28/10/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
NABWMA,Equity Call,27.00,23/12/2004,5.0,European,MACQUARIE,COR,06/09/2004,20,
NABWMB,Equity Call,28.00,23/12/2004,5.0,European,MACQUARIE,COR,06/09/2004,20,
NABWMM,Equity Call,32.00,28/10/2004,5.0,European,MACQUARIE,COR,28/06/2004,20,
NABWMN,Equity Call,28.50,28/10/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
NABWMO,Equity Call,29.50,28/10/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
NABWMP,Equity Put,31.00,23/09/2004,1.0,European,MACQUARIE,COR,06/05/2004,5,Ex Price amended from $35.00 to $31.00 on 16/8/04.
NABWMR,Equity Put,29.00,28/10/2004,5.0,European,MACQUARIE,COR,28/06/2004,20,
NABWMS,Equity Put,25.50,23/12/2004,5.0,European,MACQUARIE,COR,06/09/2004,20,
NABWMT,Equity Put,26.50,23/12/2004,5.0,European,MACQUARIE,COR,06/09/2004,20,
NABWMU,Equity Put,30.00,23/12/2004,1.0,European,MACQUARIE,COR,06/09/2004,5,
NABWOA,Equity Call,26.50,25/11/2004,5.0,European,CITIWARRANTS,COR,13/08/2004,50,
NABWOB,Equity Call,27.50,25/11/2004,5.0,European,CITIWARRANTS,COR,13/08/2004,50,
NABWOJ,Equity Call,30.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,
NABWOK,Equity Call,31.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,
NABWOL,Equity Call,29.50,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,
NABWOM,Equity Call,31.50,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,
NABWON,Equity Call,28.00,23/09/2004,5.0,European,CITIWARRANTS,COR,27/07/2004,50,
NABWOO,Equity Call,27.00,23/09/2004,5.0,European,CITIWARRANTS,COR,27/07/2004,50,Ex Price amended from $29.00 to $27.00 on 29/7/04.
NABWOP,Equity Put,27.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,
NABWOQ,Equity Put,28.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,
NABWOR,Equity Put,26.00,23/09/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,Ex Price amended from $29.00 to $26.00 on 22/7/04.
NABWOS,Equity Put,26.50,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,
NABWOT,Equity Put,25.00,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,Ex Price amended from $28.00 to $25.00 on 6/8/04.
NABWOU,Equity Put,25.50,25/11/2004,5.0,European,CITIWARRANTS,COR,13/08/2004,50,
NABWSG,Equity Call,31.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,Exercise Price amended from $28.50 to $31.50 on 6/7/04.
NABWSH,Equity Call,29.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
NABWSI,Equity Call,30.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
NABWSJ,Equity Call,25.50,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
NABWSK,Equity Call,26.50,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
NABWSL,Equity Call,27.50,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
NABWSQ,Equity Put,28.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
NABWSR,Equity Put,26.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,Ex Price amended from $29.50 to $26.50 on 2/8/04.
NABWSS,Equity Put,27.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,Ex Price amended from $30.50 to $27.50 on 2/8/04.
NABWST,Equity Put,25.50,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
NABWSU,Equity Put,26.50,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
NABWSV,Equity Put,27.50,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
NABWWA,Equity Call,19.50,31/10/2006,1.0,European,WESTPAC,COR,19/11/2001,10,
NABWWB,Equity Call,19.50,30/10/2009,1.0,European,WESTPAC,COR,19/11/2001,10,
NABWZA,Equity Call,32.00,22/12/2004,5.0,American,ABN AMRO,ADR,02/07/2004,2,
NABWZO,Equity Call,30.00,24/11/2004,5.0,American,ABN AMRO,ADR,02/07/2004,2,
NABWZP,Equity Put,24.00,22/12/2004,5.0,American,ABN AMRO,ADR,02/07/2004,2,Ex Price amended from $30.00 to $24.00 on 29/7/04.
NABWZQ,Equity Put,34.00,27/10/2004,1.0,American,ABN AMRO,ADR,02/07/2004,2,
NABWZZ,Equity Put,29.00,24/11/2004,5.0,American,ABN AMRO,ADR,02/07/2004,2,
NABXDA,Barrier Call.,24.50,23/03/2005,4.0,European,DEUTSCHE,COR,18/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDB,Barrier Call.,25.75,23/03/2005,4.0,European,DEUTSCHE,COR,30/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDM,Barrier Call.,26.00,23/09/2004,4.0,European,DEUTSCHE,COR,22/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDN,Barrier Call.,25.50,23/09/2004,4.0,European,DEUTSCHE,COR,30/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDO,Barrier Call.,25.25,23/03/2005,4.0,European,DEUTSCHE,COR,18/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDP,Barrier Put.,29.00,23/09/2004,4.0,European,DEUTSCHE,COR,22/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDQ,Barrier Put.,27.50,23/09/2004,4.0,European,DEUTSCHE,COR,30/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDS,Barrier Put.,27.50,23/03/2005,4.0,European,DEUTSCHE,COR,18/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDU,Barrier Put.,31.67,23/09/2004,4.0,European,DEUTSCHE,COR,23/02/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDV,Barrier Put.,32.67,23/09/2004,4.0,European,DEUTSCHE,COR,23/02/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDW,Barrier Put.,31.17,23/09/2004,4.0,European,DEUTSCHE,COR,16/04/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXDZ,Barrier Put.,28.25,23/09/2004,4.0,European,DEUTSCHE,COR,22/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXME,Barrier Call.,25.00,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXMF,Barrier Call.,24.00,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXMS,Barrier Put.,31.50,09/09/2004,1.0,European,MACQUARIE,COR,12/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXMT,Barrier Put.,32.50,09/09/2004,1.0,European,MACQUARIE,COR,12/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXMU,Barrier Put.,28.00,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOE,Barrier Call.,26.00,23/09/2004,4.0,European,CITIWARRANTS,COR,27/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOF,Barrier Call.,24.50,23/03/2005,4.0,European,CITIWARRANTS,COR,24/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOG,Barrier Call.,25.00,23/03/2005,4.0,European,CITIWARRANTS,COR,24/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOH,Barrier Call.,25.75,23/03/2005,4.0,European,CITIWARRANTS,COR,24/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOS,Barrier Put.,29.25,23/09/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched. Exercise Price & Barrier Level amended from $31.50 to $29.25 on 19/7/04.
NABXOT,Barrier Put.,28.75,23/09/2004,4.0,European,CITIWARRANTS,COR,27/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOU,Barrier Put.,27.25,02/09/2004,4.0,European,CITIWARRANTS,COR,24/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXOV,Barrier Put.,27.75,23/03/2005,4.0,European,CITIWARRANTS,COR,24/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXSD,Barrier Call.,24.00,24/02/2005,4.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXSE,Barrier Call.,24.50,24/02/2005,4.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXSF,Barrier Call.,25.00,24/02/2005,4.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXSP,Barrier Put.,28.50,23/09/2004,4.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $32.17 to $28.50 on 5/8/04.
NABXSQ,Barrier Put.,29.50,23/09/2004,4.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $33.17 to $29.50 on 2/8/04.
NABXSR,Barrier Put.,30.50,23/09/2004,4.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $34.17 to $30.50 on 2/8/04.
NABXSS,Barrier Put.,28.50,24/02/2005,4.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXST,Barrier Put.,29.50,24/02/2005,4.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NABXSU,Barrier Put.,30.50,24/02/2005,4.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMDMZ,Instalment High Geared,12.00,23/03/2005,1.0,American,MACQUARIE,COR,03/09/2004,10,Trading deferred settlement until 16/9/04. Normal T+3 trading commences 17/9/04.
NCMECE,Endowment,4.478,29/06/2007,1.0,European,CREDIT SUISS,COR,19/12/1996,10,
NCMIDH,Instalment High Geared Rolling,10.00,15/06/2005,1.0,European,DEUTSCHE,COR,04/06/2003,10,
NCMIMG,Instalment High Geared Rolling,9.00,18/11/2004,1.0,American,MACQUARIE,COR,07/11/2002,10,
NCMIMR,Instalment High Geared,7.50,23/06/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
NCMIMZ,Instalment High Geared,12.00,23/03/2005,1.0,American,MACQUARIE,COR,17/09/2004,10,
NCMIOE,Instalment High Geared,8.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
NCMIOJ,Instalment Regular Normal,10.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
NCMISR,Instalment High Geared,11.50,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,Ex Price amended from $11.00 to $11.50 on 10/5/04.
NCMIYE,Instalment Regular Normal,6.75,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
NCMWMF,Equity Call,15.00,25/11/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
NCMWMZ,Equity Put,14.00,25/11/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
NCMWOA,Equity Call,12.50,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,
NCMWOB,Equity Call,15.00,25/11/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Ex Price amended from $15.50 to $15.00 on 26/8/04.
NCMWOC,Equity Call,17.00,25/11/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,
NCMWOP,Equity Put,14.00,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,Ex Price amended from $11.50 to $13.50 on 22/7/04 and to $14.00 on 26/8/04.
NCMWOQ,Equity Put,13.50,25/11/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,
NCMWOR,Equity Put,13.00,25/11/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Ex Price amended from $14.50 to $13.00 on 29/7/04.
NCMWZD,Equity Call,14.50,22/12/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,
NCMWZR,Equity Put,12.50,22/12/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,
NCMXDF,Barrier Call.,10.00,23/09/2004,4.0,European,DEUTSCHE,COR,23/02/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXDG,Barrier Call.,11.75,23/09/2004,4.0,European,DEUTSCHE,COR,31/05/2004,12,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXDI,Barrier Call.,13.00,23/09/2004,4.0,European,DEUTSCHE,COR,30/07/2004,6.5,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXDJ,Barrier Call.,13.00,23/03/2005,4.0,European,DEUTSCHE,COR,18/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXDK,Barrier Call.,12.25,23/03/2005,4.0,European,DEUTSCHE,COR,18/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXDL,Barrier Call.,13.75,23/03/2005,4.0,European,DEUTSCHE,COR,30/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXDV,Barrier Put.,15.50,23/03/2005,4.0,European,DEUTSCHE,COR,18/08/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXOA,Barrier Call.,12.75,23/09/2004,4.0,European,CITIWARRANTS,COR,04/06/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched. Exercise Price & Barrier Level amended from $10.75 to $13.75 on 19/7/04 and to $12.75 on 29/7/04.
NCMXOB,Barrier Call.,11.50,23/09/2004,4.0,European,CITIWARRANTS,COR,04/06/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXOR,Barrier Put.,16.00,23/09/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXSA,Barrier Call.,12.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXSB,Barrier Call.,12.50,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXSP,Barrier Put.,16.50,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCMXSQ,Barrier Put.,17.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPDMP,Instalment High Geared,9.50,23/03/2005,1.0,American,MACQUARIE,COR,03/09/2004,10,Trading deferred settlement until 16/9/04. Normal T+3 trading commences 17/9/04.
NCPDSU,Instalment High Geared,10.25,24/02/2005,1.0,American,UBS,COR,02/09/2004,10,Trading deferred settlement until 15/9/04. Normal T+3 trading commences 16/9/04.
NCPIDA,Instalment Regular Rolling,8.25,15/06/2005,1.0,European,DEUTSCHE,COR,10/04/2000,10,
NCPIDH,Instalment High Geared Rolling,12.00,15/06/2005,1.0,European,DEUTSCHE,COR,24/04/2001,10,
NCPIGF,Instalment Regular Rolling,7.00,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
NCPIGJ,Instalment High Geared Rolling,11.00,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
NCPIMA,Instalment High Geared,11.00,28/10/2004,1.0,American,MACQUARIE,COR,16/08/2004,10,
NCPIMB,Instalment High Geared,10.50,23/09/2004,1.0,American,MACQUARIE,COR,16/07/2004,10,
NCPIMC,Instalment Regular Rolling,8.00,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
NCPIMD,Instalment High Geared Rolling,10.00,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
NCPIMF,Instalment Regular Rolling,8.00,18/11/2004,1.0,American,MACQUARIE,COR,10/12/2001,10,
NCPIMG,Instalment High Geared Rolling,11.00,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,
NCPIMP,Instalment High Geared,9.50,23/03/2005,1.0,American,MACQUARIE,COR,17/09/2004,10,
NCPIMS,Instalment High Geared,11.50,23/09/2004,1.0,American,MACQUARIE,COR,25/06/2004,10,
NCPIMZ,Instalment High Geared,12.00,23/12/2004,1.0,American,MACQUARIE,COR,02/08/2004,10,
NCPIOE,Instalment High Geared,11.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
NCPIOI,Instalment Regular Normal,9.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
NCPIOJ,Instalment High Geared,12.50,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
NCPIOL,Instalment Regular Normal,6.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
NCPISG,Rolling Reset Instalment,8.50,23/06/2005,1.0,American,UBS,COR,09/07/2004,10,The Barrier Level is $9.35.
NCPISR,Instalment High Geared,11.50,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,
NCPISS,Instalment High Geared Rolling,12.00,25/11/2004,1.0,American,UBS,COR,18/09/2002,10,
NCPISU,Instalment High Geared,10.25,24/02/2005,1.0,American,UBS,COR,16/09/2004,10,
NCPIWE,Instalment Regular Normal,7.00,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,
NCPIWF,Instalment High Geared,10.00,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,
NCPIWG,Instalment Regular Rolling,8.25,06/12/2004,1.0,European,WESTPAC,COR,18/12/2003,10,
NCPIWH,Instalment High Geared Rolling,11.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
NCPIYE,Instalment Regular Normal,9.75,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
NCPIZK,Instalment High Geared,11.00,20/01/2005,1.0,American,ABN AMRO,ADR,09/01/2004,1,
NCPIZL,Instalment High Geared,13.00,20/01/2005,1.0,American,ABN AMRO,ADR,09/01/2004,1,
NCPIZM,Instalment High Geared,11.50,28/07/2005,1.0,American,ABN AMRO,ADR,01/07/2004,1,
NCPIZN,Instalment High Geared,11.50,23/09/2004,1.0,American,ABN AMRO,ADR,01/07/2004,1.5,Issue Size increased from 1M to 1.5M on 13/8/04.
NCPIZO,Instalment Regular Normal,7.50,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,1,
NCPIZQ,Instalment Regular Rolling,7.50,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
NCPSWA,Self Funding Instalments,6.984,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. Ex Price amended from $6.4847 to $6.984 on 30/6/04.
NCPWMG,Equity Call,11.50,23/09/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,Ex Price amended from $13.00 to $11.50 on 16/8/04.
NCPWMH,Equity Call,12.50,23/09/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
NCPWMI,Equity Call,12.00,25/11/2004,4.0,European,MACQUARIE,COR,16/08/2004,20,
NCPWMJ,Equity Call,12.00,27/01/2005,4.0,European,MACQUARIE,COR,06/09/2004,20,
NCPWMP,Equity Put,16.50,23/09/2004,1.0,European,MACQUARIE,COR,06/05/2004,5,
NCPWMR,Equity Put,12.00,23/09/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
NCPWMS,Equity Put,11.00,23/09/2004,4.0,European,MACQUARIE,COR,23/07/2004,20,
NCPWMT,Equity Put,11.50,25/11/2004,4.0,European,MACQUARIE,COR,16/08/2004,20,
NCPWMU,Equity Put,10.50,25/11/2004,4.0,European,MACQUARIE,COR,06/09/2004,20,
NCPWMV,Equity Put,14.00,23/12/2004,1.0,European,MACQUARIE,COR,06/09/2004,5,
NCPWOA,Equity Call,12.25,23/12/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,
NCPWOB,Equity Call,12.75,23/12/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,
NCPWOC,Equity Call,11.75,23/12/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Ex Price amended from $13.50 to $11.75 on 6/8/04.
NCPWOD,Equity Call,11.50,25/11/2004,4.0,European,CITIWARRANTS,COR,13/08/2004,40,
NCPWOE,Equity Call,12.00,25/11/2004,4.0,European,CITIWARRANTS,COR,13/08/2004,40,
NCPWOL,Equity Call,13.50,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,Ex Price amended from $12.50 to $13.50 on 17/5/04
NCPWOM,Equity Call,13.00,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,
NCPWON,Equity Call,12.50,23/09/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,
NCPWOO,Equity Call,12.00,23/09/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Ex Price amended from $12.75 to $12.00 on 6/8/04.
NCPWOT,Equity Put,11.50,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,Ex Price amended from $12.00 to $11.50 on 6/8/04.
NCPWOU,Equity Put,11.00,23/09/2004,4.0,European,CITIWARRANTS,COR,04/05/2004,40,Ex Price amended from $12.50 to $11.75 on 6/8/04 and to $11.00 on 26/8/04.
NCPWOV,Equity Put,10.50,23/12/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Ex Price amended from $12.25 to $10.50 on 26/8/04.
NCPWOW,Equity Put,11.50,23/12/2004,4.0,European,CITIWARRANTS,COR,15/07/2004,40,Ex Price amended from $12.50 to $12.00 on 20/7/04 and to $11.50 on 26/8/04.
NCPWOX,Equity Put,11.00,25/11/2004,4.0,European,CITIWARRANTS,COR,13/08/2004,40,
NCPWSJ,Equity Call,12.50,23/09/2004,4.0,European,UBS,COR,03/05/2004,30,
NCPWSK,Equity Call,13.00,23/09/2004,4.0,European,UBS,COR,03/05/2004,30,
NCPWSL,Equity Call,12.00,23/09/2004,4.0,European,UBS,COR,03/05/2004,30,
NCPWSM,Equity Call,11.00,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
NCPWSN,Equity Call,11.50,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
NCPWSO,Equity Call,12.00,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
NCPWSP,Equity Put,13.00,23/09/2004,4.0,European,UBS,COR,03/05/2004,30,
NCPWSQ,Equity Put,11.00,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
NCPWSR,Equity Put,11.50,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
NCPWSS,Equity Put,12.00,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
NCPWSY,Equity Put,12.00,23/09/2004,4.0,European,UBS,COR,03/05/2004,30,
NCPWSZ,Equity Put,12.50,23/09/2004,4.0,European,UBS,COR,03/05/2004,30,
NCPWZI,Equity Call,13.00,24/11/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,
NCPWZJ,Equity Call,12.00,22/12/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,Ex Price amended from $14.00 to $12.00 on 29/7/04.
NCPWZQ,Equity Put,12.50,24/11/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,
NCPWZR,Equity Put,11.50,22/12/2004,4.0,American,ABN AMRO,ADR,02/07/2004,2,Ex Price amended from $13.50 to $11.50 on 29/7/04.
NCPWZS,Equity Put,16.00,27/10/2004,1.0,American,ABN AMRO,ADR,02/07/2004,2,
NCPXDJ,Barrier Call.,10.485,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDN,Barrier Call.,10.50,23/03/2005,1.0,European,DEUTSCHE,COR,18/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDO,Barrier Call.,10.00,23/03/2005,1.0,European,DEUTSCHE,COR,18/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDP,Barrier Put.,12.25,23/03/2005,1.0,European,DEUTSCHE,COR,18/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDV,Barrier Put.,13.735,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDW,Barrier Put.,13.25,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $14.735 to $13.25 on 28/6/04.
NCPXDX,Barrier Put.,13.35,23/09/2004,1.0,European,DEUTSCHE,COR,28/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDY,Barrier Put.,12.75,23/09/2004,1.0,European,DEUTSCHE,COR,22/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXDZ,Barrier Put.,11.75,23/03/2005,1.0,European,DEUTSCHE,COR,18/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXME,Barrier Call.,10.50,23/09/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXMF,Barrier Call.,10.00,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXMR,Barrier Put.,13.50,23/09/2004,1.0,European,MACQUARIE,COR,06/05/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXMS,Barrier Put.,13.25,09/09/2004,1.0,European,MACQUARIE,COR,12/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXMT,Barrier Put.,13.00,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXOD,Barrier Call.,10.00,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXOE,Barrier Call.,10.75,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXOS,Barrier Put.,13.25,23/09/2004,1.0,European,CITIWARRANTS,COR,27/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXOT,Barrier Put.,12.00,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
NCPXOU,Barrier Put.,12.50,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
